gen_model,model_label,task_type,domain,outcome_kind,n,outcome_unique,signature_family,status,baseline_columns,primary_metric,baseline_metric,amount_metric,full_metric,amount_gain,amount_gain_ci_low,amount_gain_ci_high,amount_p_value,timing_gain,timing_gain_ci_low,timing_gain_ci_high,timing_p_value,gain_unit,amount_q_value,timing_q_value,amount_supported,timing_supported
reasoner,DeepSeek-R1 Distill 8B,math,Math,binary,498,2,conversational,estimated,log_tokens|log_segments|prompt_stratum_1|prompt_stratum_2|prompt_stratum_3|prompt_stratum_4|prompt_stratum_5,AUROC,0.4854228495897448,0.6368556251091104,0.6247848966256827,0.0279117044149549,-0.0168142022215374,0.0686393243116928,0.1168831168831168,-0.0260039285367785,-0.0527687855581224,-0.0024546630738101,0.982017982017982,bits/trace,0.4472049689440993,1.0,False,False
reasoner,DeepSeek-R1 Distill 8B,math,Math,binary,498,2,cognitive,estimated,log_tokens|log_segments|prompt_stratum_1|prompt_stratum_2|prompt_stratum_3|prompt_stratum_4|prompt_stratum_5,AUROC,0.4854228495897448,0.5552535102376737,0.544105544055665,-0.0089980027092189,-0.052725430358333,0.0262826839167922,0.6253746253746254,-0.0128378392332564,-0.0290014043625801,0.0038573991784518,0.9230769230769232,bits/trace,1.0,1.0,False,False
reasoner,DeepSeek-R1 Distill 8B,code,Code,binary,150,2,conversational,estimated,log_tokens|log_segments|prompt_stratum_easy|prompt_stratum_hard|prompt_stratum_medium,AUROC,0.8698542024013722,0.8417667238421955,0.8141080617495712,-0.0875709076633154,-0.1457776962313211,-0.0379338615069536,1.0,-0.0971100601160905,-0.1883900963281171,-0.0164118212920361,0.985014985014985,bits/trace,1.0,1.0,False,False
reasoner,DeepSeek-R1 Distill 8B,code,Code,binary,150,2,cognitive,estimated,log_tokens|log_segments|prompt_stratum_easy|prompt_stratum_hard|prompt_stratum_medium,AUROC,0.8698542024013722,0.8426243567753001,0.8078902229845626,-0.0508493161085668,-0.0984209660920604,-0.0104429856928498,0.987012987012987,-0.0748110031874091,-0.1568932946669236,0.0122475479591264,0.964035964035964,bits/trace,1.0,1.0,False,False
reasoner,DeepSeek-R1 Distill 8B,gpqa,GPQA,binary,438,2,conversational,estimated,log_tokens|log_segments|prompt_stratum_Biology|prompt_stratum_Chemistry|prompt_stratum_Physics,AUROC,0.6092657160156169,0.6375138317639936,0.6172411633296448,0.0178706977043005,-0.0115904813322585,0.0464622603929667,0.1108891108891109,-0.0217592235923731,-0.0417676246726572,-0.0031918107245122,0.985014985014985,bits/trace,0.4435564435564436,1.0,False,False
reasoner,DeepSeek-R1 Distill 8B,gpqa,GPQA,binary,438,2,cognitive,estimated,log_tokens|log_segments|prompt_stratum_Biology|prompt_stratum_Chemistry|prompt_stratum_Physics,AUROC,0.6092657160156169,0.61845209512078,0.6108733323590204,-0.0073389053676192,-0.0472177757309507,0.0231039582499234,0.6483516483516484,-0.0042907603997835,-0.0283301519983337,0.022343104053324,0.6393606393606394,bits/trace,1.0,1.0,False,False
reasoner,DeepSeek-R1 Distill 8B,planning,Planning,binary,412,2,conversational,estimated,log_tokens|log_segments|prompt_stratum_applicable_actions_mc|prompt_stratum_landmarks_mcq|prompt_stratum_progression_mcq|prompt_stratum_reachable_atom_mc|prompt_stratum_validation_mcq,AUROC,0.6980588173066752,0.7013117528826828,0.701443986036179,0.0001533898635659,-0.0208361322663226,0.0228835021284835,0.5184815184815185,-0.008787427999799,-0.0294968560816664,0.0141533404644801,0.7612387612387612,bits/trace,0.9311504821708904,1.0,False,False
reasoner,DeepSeek-R1 Distill 8B,planning,Planning,binary,412,2,cognitive,estimated,log_tokens|log_segments|prompt_stratum_applicable_actions_mc|prompt_stratum_landmarks_mcq|prompt_stratum_progression_mcq|prompt_stratum_reachable_atom_mc|prompt_stratum_validation_mcq,AUROC,0.6980588173066752,0.6979265841531789,0.6893049825452238,-0.00810567699369,-0.0265079631871366,0.0117293352146779,0.7932067932067932,-0.0218478388539492,-0.0477060273754444,0.0038005929240182,0.957042957042957,bits/trace,1.0,1.0,False,False
reasoner,DeepSeek-R1 Distill 8B,moral,Moral,continuous,500,393,conversational,estimated,log_tokens|log_segments,R2,0.0764275486101,0.0814064558093883,0.0462494587316496,0.0049789071992883,-0.0147228139416536,0.0259740227736166,0.3066933066933067,-0.0351569970777386,-0.0543357542146905,-0.0159596852510209,1.0,delta R2,0.7711145996860282,1.0,False,False
reasoner,DeepSeek-R1 Distill 8B,moral,Moral,continuous,500,393,cognitive,estimated,log_tokens|log_segments,R2,0.0764275486101,0.0699678204368186,0.0917160128408711,-0.0064597281732813,-0.0229632357546679,0.0086340632297203,0.8101898101898102,0.0217481924040524,-0.0079270950390197,0.0519142830684648,0.0919080919080919,delta R2,1.0,1.0,False,False
reasoner,DeepSeek-R1 Distill 8B,idea,Idea,continuous,493,14,conversational,estimated,log_tokens|log_segments,R2,-0.005477301806702,-0.0111935072578364,-0.0212306399308408,-0.0057162054511346,-0.0349100623479472,0.0216036317579154,0.6513486513486514,-0.0100371326730042,-0.0369334271666985,0.0149044047967085,0.8051948051948052,delta R2,1.0,1.0,False,False
reasoner,DeepSeek-R1 Distill 8B,idea,Idea,continuous,493,14,cognitive,estimated,log_tokens|log_segments,R2,-0.005477301806702,-0.0139533669560059,-0.0118365446915245,-0.008476065149304,-0.0219046975313312,0.0052074169016664,0.8621378621378621,0.0021168222644814,-0.0339602952190195,0.0355250492445505,0.4665334665334665,delta R2,1.0,1.0,False,False
reasoner,DeepSeek-R1 Distill 8B,safety,Safety,continuous,312,9,conversational,estimated,"log_tokens|log_segments|prompt_stratum_Disinformation and deception|prompt_stratum_Hate, harassment and discrimination|prompt_stratum_Illegal goods and services|prompt_stratum_Non-violent crimes|prompt_stratum_Sexual content|prompt_stratum_Violence",R2,0.1035484088870684,0.0774289815595177,0.064302288185538,-0.0261194273275507,-0.0583724831930165,0.006232698399034,0.935064935064935,-0.0131266933739796,-0.0566588955442212,0.0265517901885843,0.7222777222777222,delta R2,1.0,1.0,False,False
reasoner,DeepSeek-R1 Distill 8B,safety,Safety,continuous,312,9,cognitive,estimated,"log_tokens|log_segments|prompt_stratum_Disinformation and deception|prompt_stratum_Hate, harassment and discrimination|prompt_stratum_Illegal goods and services|prompt_stratum_Non-violent crimes|prompt_stratum_Sexual content|prompt_stratum_Violence",R2,0.1035484088870684,0.1380297045131684,0.1311916040173379,0.0344812956260999,-0.0176547680110869,0.0916171792406221,0.1338661338661338,-0.0068381004958305,-0.0630333873781676,0.0516055579858279,0.5884115884115884,delta R2,0.4712087912087911,1.0,False,False
