split,prefix,feature_set,feature,coef
prompt_disjoint,0.1,metadata,gen_model=reasoner,1.1811752800635174
prompt_disjoint,0.1,metadata,gen_model=qwen35_27b,-1.0814071875782538
prompt_disjoint,0.1,metadata,gen_model=qwen35_9b,-1.0728743145419095
prompt_disjoint,0.1,metadata,gen_model=qwen35_4b,-1.0450313596597698
prompt_disjoint,0.1,metadata,difficulty_raw=Sexual content,-0.7562762985038785
prompt_disjoint,0.1,metadata,difficulty_raw=Non-violent crimes,-0.3531360042717948
prompt_disjoint,0.1,metadata,difficulty_raw=Illegal goods and services,-0.30038912856669736
prompt_disjoint,0.1,metadata,"difficulty_raw=Hate, harassment and discrimination",-0.2799035115854807
prompt_disjoint,0.1,metadata,difficulty_raw=Violence,-0.26150689002324057
prompt_disjoint,0.1,metadata,gen_model=gemma4_31b,-0.21603934397996016
prompt_disjoint,0.1,metadata,gen_model=gemma4_e4b,0.14354116704333905
prompt_disjoint,0.1,metadata,task_type=safety,0.0
prompt_disjoint,0.1,length,gen_model=qwen35_4b,-2.0747009388866653
prompt_disjoint,0.1,length,gen_model=qwen35_9b,-1.4739850843978004
prompt_disjoint,0.1,length,gen_model=qwen35_27b,-1.4000177437413193
prompt_disjoint,0.1,length,prefix_segments,1.06673638639391
prompt_disjoint,0.1,length,gen_model=reasoner,0.9524740826215914
prompt_disjoint,0.1,length,difficulty_raw=Sexual content,-0.7473786722224081
prompt_disjoint,0.1,length,difficulty_raw=Illegal goods and services,-0.3606999766665351
prompt_disjoint,0.1,length,difficulty_raw=Non-violent crimes,-0.33993892893196154
prompt_disjoint,0.1,length,difficulty_raw=Violence,-0.2826099355738753
prompt_disjoint,0.1,length,"difficulty_raw=Hate, harassment and discrimination",-0.26869321249197486
prompt_disjoint,0.1,length,gen_model=gemma4_31b,-0.219841546093148
prompt_disjoint,0.1,length,gen_model=gemma4_e4b,0.1278860469306438
prompt_disjoint,0.1,length,decode_temperature,-4.07583625678965e-25
prompt_disjoint,0.1,length,task_type=safety,0.0
prompt_disjoint,0.1,counts,gen_model=qwen35_4b,-1.9935863770514735
prompt_disjoint,0.1,counts,gen_model=qwen35_9b,-1.6369715502289566
prompt_disjoint,0.1,counts,gen_model=qwen35_27b,-1.5695205175572187
prompt_disjoint,0.1,counts,prefix_segments,1.2714050356321656
prompt_disjoint,0.1,counts,gen_model=reasoner,0.8303904984331341
prompt_disjoint,0.1,counts,difficulty_raw=Sexual content,-0.7141949337109709
prompt_disjoint,0.1,counts,rate_verification,-0.585796635236489
prompt_disjoint,0.1,counts,difficulty_raw=Illegal goods and services,-0.3923900632587218
prompt_disjoint,0.1,counts,difficulty_raw=Non-violent crimes,-0.3436053335063096
prompt_disjoint,0.1,counts,difficulty_raw=Violence,-0.29289855158078176
prompt_disjoint,0.1,counts,"difficulty_raw=Hate, harassment and discrimination",-0.26552323128662975
prompt_disjoint,0.1,counts,rate_subgoal,0.25924617316732246
prompt_disjoint,0.1,counts,gen_model=gemma4_31b,-0.2560216671258792
prompt_disjoint,0.1,counts,rate_Reconciliation,0.11613853876372326
prompt_disjoint,0.1,counts,rate_Question_and_Answering,0.041173803033727786
prompt_disjoint,0.1,counts,rate_Conflict_of_Perspectives,-0.034891168072382656
prompt_disjoint,0.1,counts,gen_model=gemma4_e4b,-0.033191737032373415
