task_type,family,model_a,model_b,js_distance,correlation_distance
math,dialectical,reasoner,gemma4_e4b,0.060995074147039585,0.12698995073470654
math,executive,reasoner,gemma4_e4b,0.11834910284204851,0.3103052339087672
math,dialectical,reasoner,gemma4_31b,0.14400614055910488,0.1532276652674064
math,executive,reasoner,gemma4_31b,0.2836944823873655,1.0206564580848763
math,dialectical,reasoner,qwen35_4b,0.06408020528102662,0.1919854461823498
math,executive,reasoner,qwen35_4b,0.16777389716825367,1.0825540392899853
math,dialectical,reasoner,qwen35_9b,0.06238434566402511,0.20248579190149607
math,executive,reasoner,qwen35_9b,0.16249958827339953,0.8081786583557868
math,dialectical,reasoner,qwen35_27b,0.05332927219840155,0.12460418920841543
math,executive,reasoner,qwen35_27b,0.1665364588590219,1.0167565284451796
math,dialectical,gemma4_e4b,gemma4_31b,0.12260105476700969,0.10825440150954513
math,executive,gemma4_e4b,gemma4_31b,0.19597029561963722,0.35151423795190906
math,dialectical,gemma4_e4b,qwen35_4b,0.10521682156472317,0.4105511421639422
math,executive,gemma4_e4b,qwen35_4b,0.10017627909096395,0.8434999654650088
math,dialectical,gemma4_e4b,qwen35_9b,0.10380233045218773,0.415914412501009
math,executive,gemma4_e4b,qwen35_9b,0.09517633183005705,0.6204158755916349
math,dialectical,gemma4_e4b,qwen35_27b,0.09801042290673004,0.35353126315063244
math,executive,gemma4_e4b,qwen35_27b,0.0975503104363715,0.7163348867100203
math,dialectical,gemma4_31b,qwen35_4b,0.1904933059430272,0.3814938325017525
math,executive,gemma4_31b,qwen35_4b,0.2321118961286846,0.6107922043534373
math,dialectical,gemma4_31b,qwen35_9b,0.18824526262918415,0.3897196117524714
math,executive,gemma4_31b,qwen35_9b,0.2339910796220161,0.6758782451294694
math,dialectical,gemma4_31b,qwen35_27b,0.18358627730198177,0.346807305209324
math,executive,gemma4_31b,qwen35_27b,0.23012236955690463,0.5242583772516736
math,dialectical,qwen35_4b,qwen35_9b,0.02039689102290189,0.07545092061111669
math,executive,qwen35_4b,qwen35_9b,0.018278284097838184,0.3427188069066166
math,dialectical,qwen35_4b,qwen35_27b,0.022975435116545595,0.07729414984778782
math,executive,qwen35_4b,qwen35_27b,0.01551548998864117,0.24013023597500183
math,dialectical,qwen35_9b,qwen35_27b,0.01869345892276258,0.05382510924651951
math,executive,qwen35_9b,qwen35_27b,0.018288152019198964,0.3164198011208882
code,dialectical,reasoner,gemma4_e4b,0.0557201437507001,0.5704505078266763
code,executive,reasoner,gemma4_e4b,0.051241997287795764,0.28785214580765883
code,dialectical,reasoner,gemma4_31b,0.07845501023421715,0.8677382289488382
code,executive,reasoner,gemma4_31b,0.05352979221996727,0.1171360161539301
code,dialectical,reasoner,qwen35_4b,0.07760755350168563,0.635067803686223
code,executive,reasoner,qwen35_4b,0.09396495762036854,1.3554394412725879
code,dialectical,reasoner,qwen35_9b,0.08956992317810997,0.6809606190607014
code,executive,reasoner,qwen35_9b,0.08081954178673323,0.6829636964191401
code,dialectical,reasoner,qwen35_27b,0.03388244959128878,0.4526902388318258
code,executive,reasoner,qwen35_27b,0.04517061014547069,0.26870717182624493
code,dialectical,gemma4_e4b,gemma4_31b,0.082561179902231,0.6967385788997942
code,executive,gemma4_e4b,gemma4_31b,0.06489806310072717,0.20779071686269102
code,dialectical,gemma4_e4b,qwen35_4b,0.10475147888026491,1.0473757686877154
code,executive,gemma4_e4b,qwen35_4b,0.10313179316304703,1.3377357568909711
code,dialectical,gemma4_e4b,qwen35_9b,0.11774767957947917,1.141967646721595
code,executive,gemma4_e4b,qwen35_9b,0.07447762726574794,0.4951716605295531
code,dialectical,gemma4_e4b,qwen35_27b,0.07465365705373922,1.1100020175730865
code,executive,gemma4_e4b,qwen35_27b,0.06406689609248618,0.5558510404414951
code,dialectical,gemma4_31b,qwen35_4b,0.09011584530274047,0.7111108944924207
code,executive,gemma4_31b,qwen35_4b,0.12147517571615356,1.159881202738015
code,dialectical,gemma4_31b,qwen35_9b,0.08636241410919016,0.5569857399499685
code,executive,gemma4_31b,qwen35_9b,0.09515844944325795,0.4880864789462176
code,dialectical,gemma4_31b,qwen35_27b,0.07809043792346296,0.8396545166349705
code,executive,gemma4_31b,qwen35_27b,0.08919811256143918,0.4657849829939795
code,dialectical,qwen35_4b,qwen35_9b,0.06383386255865181,0.26935792001142134
code,executive,qwen35_4b,qwen35_9b,0.07200711416468068,0.6586741504541049
code,dialectical,qwen35_4b,qwen35_27b,0.06179177300991129,0.2522077745819391
code,executive,qwen35_4b,qwen35_27b,0.06799549581168807,1.394435510630212
code,dialectical,qwen35_9b,qwen35_27b,0.07440598982114034,0.30595834343359285
code,executive,qwen35_9b,qwen35_27b,0.07328476315607706,0.8440134185645618
gpqa,dialectical,reasoner,gemma4_e4b,0.0681459568962366,0.14624547237002516
gpqa,executive,reasoner,gemma4_e4b,0.1278245157282233,1.0163016653160029
gpqa,dialectical,reasoner,gemma4_31b,0.0554993056112685,0.20044862566551247
gpqa,executive,reasoner,gemma4_31b,0.07670002878524904,0.11950944650369144
gpqa,dialectical,reasoner,qwen35_4b,0.04359134673807073,0.17817080927729012
gpqa,executive,reasoner,qwen35_4b,0.024006197147259482,0.12956019119766848
gpqa,dialectical,reasoner,qwen35_9b,0.04118794341605898,0.17713963913856956
gpqa,executive,reasoner,qwen35_9b,0.027338467968646696,0.17929171379834985
gpqa,dialectical,reasoner,qwen35_27b,0.03848805797314221,0.14829262913781405
gpqa,executive,reasoner,qwen35_27b,0.02386153194877465,0.1520624210681225
gpqa,dialectical,gemma4_e4b,gemma4_31b,0.056274604805414866,0.15387360046380383
gpqa,executive,gemma4_e4b,gemma4_31b,0.16374197914696012,0.9888703756547549
gpqa,dialectical,gemma4_e4b,qwen35_4b,0.09407167958278537,0.29647274686879677
gpqa,executive,gemma4_e4b,qwen35_4b,0.1209442715795793,0.9266684837711284
gpqa,dialectical,gemma4_e4b,qwen35_9b,0.09171180285825113,0.29431277268659506
gpqa,executive,gemma4_e4b,qwen35_9b,0.1256688987112208,1.1350038865301002
gpqa,dialectical,gemma4_e4b,qwen35_27b,0.08945451344955281,0.260444209722563
gpqa,executive,gemma4_e4b,qwen35_27b,0.12536480166727262,0.9849761945104893
gpqa,dialectical,gemma4_31b,qwen35_4b,0.06977253154240867,0.17442953085490187
gpqa,executive,gemma4_31b,qwen35_4b,0.08640295661050448,0.08054833720603971
gpqa,dialectical,gemma4_31b,qwen35_9b,0.06689476161880603,0.17090647350983557
gpqa,executive,gemma4_31b,qwen35_9b,0.0879802289965258,0.06189823215486567
gpqa,dialectical,gemma4_31b,qwen35_27b,0.0647465183277924,0.148313641825931
gpqa,executive,gemma4_31b,qwen35_27b,0.07500620558260263,0.0491347095393323
gpqa,dialectical,qwen35_4b,qwen35_9b,0.011795026952159718,0.037816642132161515
gpqa,executive,qwen35_4b,qwen35_9b,0.012432749930345136,0.09751042645385233
