gen_model,task_type,n_traces,n_instances,n_sample_seeds,n_completed,tokens_min,tokens_median,tokens_max,analysis_sources,configured_token_budgets,completion_rate
anchor,code,175,175,1,174,53,359.0,4096,answer_text,4096,0.9942857142857143
anchor,gpqa,500,500,1,446,178,554.0,4096,answer_text,4096,0.892
anchor,idea,500,500,1,500,280,545.0,788,answer_text,4096,1.0
anchor,math,500,500,1,472,40,344.0,4096,answer_text,4096,0.944
anchor,moral,500,500,1,500,7,620.0,946,answer_text,4096,1.0
anchor,planning,500,500,1,492,140,427.0,4096,answer_text,4096,0.984
anchor,safety,313,313,1,313,7,16.0,1582,answer_text,4096,1.0
anchor,security,500,500,1,439,8,426.5,4096,answer_text,4096,0.878
gemma4_31b,code,175,175,1,175,387,8022.0,21859,think_text,65536,1.0
gemma4_31b,gpqa,500,500,1,500,631,4860.5,20020,think_text,65536,1.0
gemma4_31b,idea,500,500,1,500,851,1189.0,2465,think_text,65536,1.0
gemma4_31b,math,500,500,1,500,209,1224.0,16109,think_text,65536,1.0
gemma4_31b,moral,500,500,1,500,1050,1609.5,3246,think_text,65536,1.0
gemma4_31b,planning,500,500,1,500,736,3209.0,19424,think_text,65536,1.0
gemma4_31b,safety,313,313,1,313,126,314.0,1432,think_text,65536,1.0
gemma4_31b,security,500,500,1,496,470,3445.0,64677,think_text,65536,0.992
gemma4_e4b,code,175,175,1,175,454,6450.0,24947,think_text,65536,1.0
gemma4_e4b,gpqa,500,500,1,500,678,2482.5,12084,think_text,65536,1.0
gemma4_e4b,idea,500,500,1,500,936,1196.5,1505,think_text,65536,1.0
gemma4_e4b,math,500,500,1,500,82,1405.0,14115,think_text,65536,1.0
gemma4_e4b,moral,500,500,1,500,1069,1593.5,2459,think_text,65536,1.0
gemma4_e4b,planning,500,500,1,500,832,2050.5,12178,think_text,65536,1.0
gemma4_e4b,safety,313,313,1,313,7,42.0,2024,think_text,65536,1.0
gemma4_e4b,security,500,500,1,500,479,1984.5,16657,think_text,65536,1.0
qwen35_27b,code,175,175,1,158,489,22382.0,65304,think_text,65536,0.9028571428571428
qwen35_27b,gpqa,500,500,1,489,1199,11366.5,65422,think_text,65536,0.978
qwen35_27b,idea,500,500,1,498,1139,4895.0,65491,think_text,65536,0.996
qwen35_27b,math,500,500,1,439,434,7337.5,65510,think_text,65536,0.878
qwen35_27b,moral,500,500,1,497,1766,2696.5,65237,think_text,65536,0.994
qwen35_27b,planning,500,500,1,499,1085,6220.0,63960,think_text,65536,0.998
qwen35_27b,safety,313,313,1,313,314,1319.0,2953,think_text,65536,1.0
qwen35_27b,security,500,500,1,459,637,6647.5,65452,think_text,65536,0.918
qwen35_4b,code,175,175,1,92,540,27746.0,65297,think_text,65536,0.5257142857142857
qwen35_4b,gpqa,500,500,1,334,1267,21872.5,65459,think_text,65536,0.668
qwen35_4b,idea,500,500,1,161,2652,65489.0,65491,think_text,65536,0.322
qwen35_4b,math,500,500,1,408,403,10598.0,65514,think_text,65536,0.816
qwen35_4b,moral,500,500,1,420,1812,3300.0,65451,think_text,65536,0.84
qwen35_4b,planning,500,500,1,443,1174,12099.0,65270,think_text,65536,0.886
qwen35_4b,safety,313,313,1,291,248,1623.0,65519,think_text,65536,0.9297124600638977
qwen35_4b,security,500,500,1,184,632,64427.0,65474,think_text,65536,0.368
qwen35_9b,code,175,175,1,129,431,15034.0,65207,think_text,65536,0.7371428571428571
qwen35_9b,gpqa,500,500,1,418,1366,17792.0,65459,think_text,65536,0.836
qwen35_9b,idea,500,500,1,344,2049,6789.5,65491,think_text,65536,0.688
qwen35_9b,math,500,500,1,438,513,7913.0,65511,think_text,65536,0.876
qwen35_9b,moral,500,500,1,485,1637,2966.5,65445,think_text,65536,0.97
qwen35_9b,planning,500,500,1,490,1130,9262.5,65244,think_text,65536,0.98
qwen35_9b,safety,313,313,1,308,272,1434.0,65513,think_text,65536,0.9840255591054313
qwen35_9b,security,500,500,1,303,557,12924.0,65480,think_text,65536,0.606
reasoner,code,175,175,1,154,401,12970.0,65370,think_text,65536,0.88
reasoner,gpqa,500,500,1,484,465,5550.5,65450,think_text,65536,0.968
reasoner,idea,500,500,1,493,500,1131.5,65495,think_text,65536,0.986
reasoner,math,500,500,1,498,176,1954.0,65299,think_text,65536,0.996
reasoner,moral,500,500,1,500,521,1143.5,2269,think_text,65536,1.0
reasoner,planning,500,500,1,442,351,2918.5,65345,think_text,65536,0.884
reasoner,safety,313,313,1,313,195,1053.0,53866,think_text,65536,1.0
reasoner,security,500,500,1,397,287,1553.0,65380,think_text,65536,0.794
