gen_model,task_type,full_rows,isolated_rows,paired_rows,full_only_rows,isolated_only_rows,null__full__Question_and_Answering,null__full__Perspective_Shift,null__full__Conflict_of_Perspectives,null__full__Reconciliation,null__full__verification,null__full__backtracking,null__full__subgoal,null__full__backward_chaining,fail__full__kim_parsed,fail__full__gandhi_parsed,null__isolated__Question_and_Answering,null__isolated__Perspective_Shift,null__isolated__Conflict_of_Perspectives,null__isolated__Reconciliation,null__isolated__verification,null__isolated__backtracking,null__isolated__subgoal,null__isolated__backward_chaining,fail__isolated__kim_parsed,fail__isolated__gandhi_parsed
anchor,code,2746,2746,2746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
anchor,gpqa,15482,15482,15482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
anchor,idea,12923,12923,12923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
anchor,math,8308,8308,8308,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
anchor,moral,14861,14861,14861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
anchor,planning,14993,14993,14993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
anchor,safety,929,929,929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
anchor,security,16477,16477,16477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gemma4_31b,code,39966,39966,39966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gemma4_31b,gpqa,87722,87722,87722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gemma4_31b,idea,19385,19385,19385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gemma4_31b,math,22927,22927,22927,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,1,1,1,1,0,1
gemma4_31b,moral,19310,19310,19310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gemma4_31b,planning,74381,74381,74381,0,0,20,20,20,20,20,20,20,20,20,20,0,0,0,0,0,0,0,0,0,0
gemma4_31b,safety,4105,4105,4105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gemma4_31b,security,59763,59763,59763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gemma4_e4b,code,57046,57046,57046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gemma4_e4b,gpqa,32137,32137,32137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gemma4_e4b,idea,14835,14835,14835,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,0,0,0,0,9,0
gemma4_e4b,math,24769,24769,24769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gemma4_e4b,moral,12437,12437,12437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gemma4_e4b,planning,40466,40466,40466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20,20,0,20
gemma4_e4b,safety,840,840,840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gemma4_e4b,security,52460,52460,52460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
qwen35_27b,code,173822,173822,173822,0,0,0,0,0,0,0,0,0,0,0,0,40,40,40,40,40,40,40,40,40,40
qwen35_27b,gpqa,290981,290981,290981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
qwen35_27b,idea,117108,117108,117108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
qwen35_27b,math,168763,168763,168763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20,20,0,20
qwen35_27b,moral,53290,53290,53290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
qwen35_27b,planning,197568,197568,197568,0,0,0,0,0,0,0,0,0,0,0,0,40,40,40,40,40,40,40,40,40,40
qwen35_27b,safety,18898,18898,18898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
qwen35_27b,security,194159,194159,194159,0,0,20,20,20,20,20,20,20,20,20,20,40,40,40,40,20,20,20,20,40,20
qwen35_4b,code,47670,47670,47670,0,0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,60,60,60,60,20,60
qwen35_4b,gpqa,283403,283403,283403,0,0,20,20,20,20,0,0,0,0,20,0,40,40,40,40,20,20,20,20,40,20
qwen35_4b,idea,40363,40363,40363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
qwen35_4b,math,212219,212219,212219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
qwen35_4b,moral,62119,62119,62119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
qwen35_4b,planning,315177,315177,315177,0,0,0,0,0,0,0,0,0,0,0,0,80,80,80,80,80,80,80,80,80,80
qwen35_4b,safety,23864,23864,23864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
qwen35_4b,security,58908,58908,58908,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20,20,0,0,0,0,20,0
qwen35_9b,code,72447,72447,72447,0,0,20,20,20,20,40,40,40,40,20,40,20,20,20,20,20,20,20,20,20,20
qwen35_9b,gpqa,363188,363188,363188,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20,20,20,20,20,20,20,20
qwen35_9b,idea,102505,102505,102505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
qwen35_9b,math,208716,208716,208716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
qwen35_9b,moral,68782,68782,68782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
qwen35_9b,planning,287571,287571,287571,0,0,20,20,20,20,20,20,20,20,20,20,60,60,60,60,20,20,20,20,60,20
qwen35_9b,safety,21712,21712,21712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
qwen35_9b,security,105897,105897,105897,0,0,20,20,20,20,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0
reasoner,code,85716,85716,85716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
reasoner,gpqa,129299,129299,129299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
reasoner,idea,29745,29745,29745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
reasoner,math,71413,71413,71413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
reasoner,moral,22965,22965,22965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
reasoner,planning,89566,89566,89566,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20,20,0,0,0,0,20,0
reasoner,safety,15180,15180,15180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
reasoner,security,53238,53238,53238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
