gen_model,task_type,motif,lag,observed,support,traces,lift,risk_difference,log_lift
anchor,code,question_to_subgoal,1,0,0,175,0.0,-0.012057565149747181,-16.30520291710115
anchor,code,perspective_to_verification,1,2,30,175,14.283333333333335,0.061999222092570985,2.659093157125702
anchor,code,conflict_to_verification,1,0,22,175,0.0,-0.004667444574095682,-15.356122493718498
anchor,code,conflict_to_reconciliation,1,1,22,175,29.21590909090909,0.043898730596513565,3.3747127720378893
anchor,code,verification_to_backtracking,1,6,12,175,80.34375,0.4937767405678724,4.386314145778676
anchor,code,backtracking_to_subgoal,1,2,16,175,10.366935483870966,0.11294243485025282,2.338621386165427
anchor,code,reconciliation_to_verification,1,0,4,175,0.0,-0.004667444574095682,-15.356122493718498
anchor,gpqa,question_to_subgoal,1,1,5,500,3.0575510204081633,0.13458817247363503,1.1176142651213552
anchor,gpqa,perspective_to_verification,1,380,2707,500,1.1808676198107222,0.021500816371839288,0.16624943803585301
anchor,gpqa,conflict_to_verification,1,313,1845,500,1.4270981407175103,0.05077171196221372,0.3556431077661329
anchor,gpqa,conflict_to_reconciliation,1,183,1845,500,3.354445851456257,0.06961817595749045,1.2102865620920407
anchor,gpqa,verification_to_backtracking,1,424,1781,500,4.387136875299129,0.18380338270045335,1.4786768076747414
anchor,gpqa,backtracking_to_subgoal,1,57,813,500,1.071835228556367,0.004698873580646093,0.06937234510535288
anchor,gpqa,reconciliation_to_verification,1,31,443,500,0.5886590712347414,-0.04889855787818219,-0.5299080834636284
anchor,idea,question_to_subgoal,1,2,254,500,0.0945110122104302,-0.07543919362168597,-2.3590388049472906
anchor,idea,perspective_to_verification,1,0,1828,500,0.0,-0.0004829751267809708,-13.087722504458645
anchor,idea,conflict_to_verification,1,0,173,500,0.0,-0.0004829751267809708,-13.087722504458645
anchor,idea,conflict_to_reconciliation,1,61,173,500,21.26390369829957,0.33601901004988416,3.05701091562987
anchor,idea,verification_to_backtracking,1,0,6,500,,0.0,0.0
anchor,idea,backtracking_to_subgoal,1,0,0,500,0.0,-0.08331320936971746,-18.238117682435103
anchor,idea,reconciliation_to_verification,1,0,206,500,0.0,-0.0004829751267809708,-13.087722504458645
