gen_model,task_type,behavior,n,presence,mean_rate,mean_count
gemma4_31b,code,Question_and_Answering,175,0.8114285714285714,0.043738622948949986,10.965714285714286
gemma4_31b,code,Perspective_Shift,175,0.9714285714285714,0.11179903685080433,25.6
gemma4_31b,code,Conflict_of_Perspectives,175,0.8342857142857143,0.0376270320083184,11.765714285714285
gemma4_31b,code,Reconciliation,175,0.8514285714285714,0.03366174621669611,9.194285714285714
gemma4_31b,code,verification,175,0.9885714285714285,0.1491385800337062,31.765714285714285
gemma4_31b,code,backtracking,175,0.6914285714285714,0.017101776542250518,5.52
gemma4_31b,code,subgoal,175,0.9942857142857143,0.07963295030561307,13.0
gemma4_31b,code,backward_chaining,175,0.13142857142857142,0.002595034878028533,0.7142857142857143
gemma4_31b,gpqa,Question_and_Answering,500,0.878,0.09071200141679801,18.918
gemma4_31b,gpqa,Perspective_Shift,500,1.0,0.16196734212534583,31.26
gemma4_31b,gpqa,Conflict_of_Perspectives,500,0.95,0.07456500990136723,15.22
gemma4_31b,gpqa,Reconciliation,500,0.95,0.04753862655301832,7.664
gemma4_31b,gpqa,verification,500,0.996,0.21536130992464836,35.528
gemma4_31b,gpqa,backtracking,500,0.796,0.040747301062854256,10.172
gemma4_31b,gpqa,subgoal,500,0.834,0.034927089678650255,6.888
gemma4_31b,gpqa,backward_chaining,500,0.282,0.00712716108178021,1.812
gemma4_31b,idea,Question_and_Answering,500,0.814,0.14450668591929786,5.986
gemma4_31b,idea,Perspective_Shift,500,1.0,0.32600819867241454,12.616
gemma4_31b,idea,Conflict_of_Perspectives,500,0.998,0.1217189510696432,4.764
gemma4_31b,idea,Reconciliation,500,0.704,0.027998920707119304,1.028
gemma4_31b,idea,verification,500,0.992,0.21631772174409675,8.598
gemma4_31b,idea,backtracking,500,0.686,0.07064233769468903,3.054
gemma4_31b,idea,subgoal,500,0.918,0.1136895081471959,4.284
gemma4_31b,idea,backward_chaining,500,0.004,0.00011774600504625736,0.004
gemma4_31b,math,Question_and_Answering,499,0.4228456913827655,0.057110244872600024,3.278557114228457
gemma4_31b,math,Perspective_Shift,499,0.8196392785571143,0.10370925618955774,5.286573146292585
gemma4_31b,math,Conflict_of_Perspectives,499,0.3186372745490982,0.017554646589170598,2.1683366733466936
gemma4_31b,math,Reconciliation,499,0.48096192384769537,0.0274447597647538,1.6432865731462927
gemma4_31b,math,verification,499,0.8817635270541082,0.17025955439889243,8.29058116232465
