gen_model,task_type,quality_class,decile,segments,behavior,positive_segments,prevalence,signature_family,dominance_share,behavior_label,abbreviation
gemma4_31b,code,all,0,4055,subgoal,241,0.0594327990135635,cognitive,0.4358047016274864,Subgoal setting,S
gemma4_31b,code,all,1,3970,verification,391,0.09848866498740554,cognitive,0.4750911300121507,Verification,V
gemma4_31b,code,all,2,3982,verification,477,0.11978905072827725,cognitive,0.5618374558303887,Verification,V
gemma4_31b,code,all,3,3981,verification,517,0.1298668676212007,cognitive,0.5719026548672566,Verification,V
gemma4_31b,code,all,4,3952,verification,566,0.14321862348178138,cognitive,0.6192560175054704,Verification,V
gemma4_31b,code,all,5,3998,verification,596,0.14907453726863432,cognitive,0.6195426195426196,Verification,V
gemma4_31b,code,all,6,4000,verification,653,0.16325,cognitive,0.6991434689507494,Verification,V
gemma4_31b,code,all,7,3963,verification,676,0.17057784506686854,cognitive,0.7237687366167024,Verification,V
gemma4_31b,code,all,8,3989,verification,648,0.16244672850338432,cognitive,0.6893617021276596,Verification,V
gemma4_31b,code,all,9,4076,verification,859,0.21074582924435722,cognitive,0.7724820143884892,Verification,V
gemma4_31b,code,all,0,4055,Perspective_Shift,418,0.1030826140567201,conversational,0.5054413542926239,Perspective shift,P
gemma4_31b,code,all,1,3970,Perspective_Shift,457,0.11511335012594459,conversational,0.4303201506591337,Perspective shift,P
gemma4_31b,code,all,2,3982,Perspective_Shift,440,0.11049723756906077,conversational,0.46169989506820563,Perspective shift,P
gemma4_31b,code,all,3,3981,Perspective_Shift,399,0.10022607385079126,conversational,0.41091658084449023,Perspective shift,P
gemma4_31b,code,all,4,3952,Perspective_Shift,464,0.11740890688259109,conversational,0.45714285714285713,Perspective shift,P
gemma4_31b,code,all,5,3998,Perspective_Shift,466,0.11655827913956979,conversational,0.44937319189971064,Perspective shift,P
gemma4_31b,code,all,6,4000,Perspective_Shift,440,0.11,conversational,0.43349753694581283,Perspective shift,P
gemma4_31b,code,all,7,3963,Perspective_Shift,467,0.11784002018672722,conversational,0.44139886578449905,Perspective shift,P
gemma4_31b,code,all,8,3989,Perspective_Shift,469,0.11757332664828278,conversational,0.45711500974658875,Perspective shift,P
gemma4_31b,code,all,9,4076,Perspective_Shift,460,0.11285574092247301,conversational,0.4170444242973708,Perspective shift,P
gemma4_31b,code,high,0,2511,subgoal,158,0.0629231381919554,cognitive,0.4702380952380953,Subgoal setting,S
gemma4_31b,code,high,1,2445,verification,255,0.10429447852760736,cognitive,0.4885057471264368,Verification,V
gemma4_31b,code,high,2,2456,verification,324,0.13192182410423453,cognitive,0.6000000000000001,Verification,V
gemma4_31b,code,high,3,2453,verification,347,0.14145943742356298,cognitive,0.6055846422338569,Verification,V
