gen_model,task_type,outcome_name,outcome_type,outcome_direction,n_traces,n_outcome_available,outcome_raw_min,outcome_raw_median,outcome_raw_max,outcome_coverage_rate
anchor,code,code_success,binary,higher_is_better,175,171,0.0,0.0,1.0,0.9771428571428571
anchor,gpqa,success,binary,higher_is_better,500,369,0.0,0.0,1.0,0.738
anchor,idea,quality_score,continuous,higher_is_better,500,500,0.1,0.55,0.85,1.0
anchor,math,success,binary,higher_is_better,500,472,0.0,0.0,1.0,0.944
anchor,moral,quality_score,continuous,higher_is_better,500,500,0.0,0.6323642664613015,1.0,1.0
anchor,planning,success,binary,higher_is_better,500,408,0.0,1.0,1.0,0.816
anchor,safety,safety_harm_score,continuous,lower_raw_is_better,313,313,0.0,0.0,1.0,1.0
anchor,security,success,binary,higher_hazardous_capability_not_safer,500,360,0.0,1.0,1.0,0.72
gemma4_31b,code,code_success,binary,higher_is_better,175,174,0.0,1.0,1.0,0.9942857142857143
gemma4_31b,gpqa,success,binary,higher_is_better,500,493,0.0,1.0,1.0,0.986
gemma4_31b,idea,quality_score,continuous,higher_is_better,500,500,0.55,0.75,0.9,1.0
gemma4_31b,math,success,binary,higher_is_better,500,500,0.0,0.0,1.0,1.0
gemma4_31b,moral,quality_score,continuous,higher_is_better,500,500,0.19696969696969696,0.7819293478260869,1.0,1.0
gemma4_31b,planning,success,binary,higher_is_better,500,500,0.0,1.0,1.0,1.0
gemma4_31b,safety,safety_harm_score,continuous,lower_raw_is_better,313,313,0.0,0.0,1.0,1.0
gemma4_31b,security,success,binary,higher_hazardous_capability_not_safer,500,493,0.0,1.0,1.0,0.986
gemma4_e4b,code,code_success,binary,higher_is_better,175,172,0.0,1.0,1.0,0.9828571428571429
gemma4_e4b,gpqa,success,binary,higher_is_better,500,477,0.0,1.0,1.0,0.954
gemma4_e4b,idea,quality_score,continuous,higher_is_better,500,500,0.45,0.7,0.85,1.0
gemma4_e4b,math,success,binary,higher_is_better,500,500,0.0,1.0,1.0,1.0
gemma4_e4b,moral,quality_score,continuous,higher_is_better,500,500,0.17857142857142858,0.773030303030303,1.0,1.0
gemma4_e4b,planning,success,binary,higher_is_better,500,488,0.0,1.0,1.0,0.976
gemma4_e4b,safety,safety_harm_score,continuous,lower_raw_is_better,313,313,0.0,0.0,1.0,1.0
gemma4_e4b,security,success,binary,higher_hazardous_capability_not_safer,500,472,0.0,1.0,1.0,0.944
qwen35_27b,code,code_success,binary,higher_is_better,175,157,0.0,1.0,1.0,0.8971428571428571
qwen35_27b,gpqa,success,binary,higher_is_better,500,483,0.0,1.0,1.0,0.966
qwen35_27b,idea,quality_score,continuous,higher_is_better,500,498,0.6,0.8,0.95,0.996
qwen35_27b,math,success,binary,higher_is_better,500,439,0.0,1.0,1.0,0.878
qwen35_27b,moral,quality_score,continuous,higher_is_better,500,497,0.23636363636363636,0.8272727272727273,1.0,0.994
qwen35_27b,planning,success,binary,higher_is_better,500,499,0.0,1.0,1.0,0.998
qwen35_27b,safety,safety_harm_score,continuous,lower_raw_is_better,313,313,0.0,0.0,0.0,1.0
qwen35_27b,security,success,binary,higher_hazardous_capability_not_safer,500,455,0.0,1.0,1.0,0.91
qwen35_4b,code,code_success,binary,higher_is_better,175,92,0.0,1.0,1.0,0.5257142857142857
qwen35_4b,gpqa,success,binary,higher_is_better,500,316,0.0,1.0,1.0,0.632
qwen35_4b,idea,quality_score,continuous,higher_is_better,500,161,0.6,0.75,0.85,0.322
qwen35_4b,math,success,binary,higher_is_better,500,408,0.0,1.0,1.0,0.816
qwen35_4b,moral,quality_score,continuous,higher_is_better,500,420,0.23684210526315788,0.790615835777126,1.0,0.84
qwen35_4b,planning,success,binary,higher_is_better,500,429,0.0,1.0,1.0,0.858
qwen35_4b,safety,safety_harm_score,continuous,lower_raw_is_better,313,291,0.0,0.0,0.0,0.9297124600638977
qwen35_4b,security,success,binary,higher_hazardous_capability_not_safer,500,182,0.0,1.0,1.0,0.364
qwen35_9b,code,code_success,binary,higher_is_better,175,126,0.0,1.0,1.0,0.72
qwen35_9b,gpqa,success,binary,higher_is_better,500,413,0.0,1.0,1.0,0.826
qwen35_9b,idea,quality_score,continuous,higher_is_better,500,344,0.6,0.8,0.9,0.688
qwen35_9b,math,success,binary,higher_is_better,500,438,0.0,1.0,1.0,0.876
qwen35_9b,moral,quality_score,continuous,higher_is_better,500,485,0.17857142857142858,0.8085106382978723,1.0,0.97
qwen35_9b,planning,success,binary,higher_is_better,500,489,0.0,1.0,1.0,0.978
qwen35_9b,safety,safety_harm_score,continuous,lower_raw_is_better,313,308,0.0,0.0,0.0,0.9840255591054313
qwen35_9b,security,success,binary,higher_hazardous_capability_not_safer,500,301,0.0,1.0,1.0,0.602
reasoner,code,code_success,binary,higher_is_better,175,151,0.0,0.0,1.0,0.8628571428571429
reasoner,gpqa,success,binary,higher_is_better,500,438,0.0,0.0,1.0,0.876
reasoner,idea,quality_score,continuous,higher_is_better,500,493,0.1,0.55,0.75,0.986
reasoner,math,success,binary,higher_is_better,500,498,0.0,1.0,1.0,0.996
reasoner,moral,quality_score,continuous,higher_is_better,500,500,0.08333333333333333,0.5,1.0,1.0
reasoner,planning,success,binary,higher_is_better,500,412,0.0,1.0,1.0,0.824
reasoner,safety,safety_harm_score,continuous,lower_raw_is_better,313,313,0.0,0.25,1.0,1.0
reasoner,security,success,binary,higher_hazardous_capability_not_safer,500,335,0.0,0.0,1.0,0.67
