task_type,model_a,model_b,distance
math,reasoner,gemma4_e4b,0.019626759591297914
math,reasoner,gemma4_31b,0.015290262822291276
math,reasoner,qwen35_4b,0.02285037297552302
math,reasoner,qwen35_9b,0.02199967819148799
math,reasoner,qwen35_27b,0.019032011305301574
math,gemma4_e4b,gemma4_31b,0.03318733258165333
math,gemma4_e4b,qwen35_4b,0.029645671448295927
math,gemma4_e4b,qwen35_9b,0.028195782834725132
math,gemma4_e4b,qwen35_27b,0.02401186501900785
math,gemma4_31b,qwen35_4b,0.03448656110612118
math,gemma4_31b,qwen35_9b,0.03410339444512489
math,gemma4_31b,qwen35_27b,0.03225064706562943
math,qwen35_4b,qwen35_9b,0.0014843731633538409
math,qwen35_4b,qwen35_27b,0.005634033586228202
math,qwen35_9b,qwen35_27b,0.004190621710181877
code,reasoner,gemma4_e4b,0.06529120099080785
code,reasoner,gemma4_31b,0.038353575997445044
code,reasoner,qwen35_4b,0.03901443560530294
code,reasoner,qwen35_9b,0.03669692774080457
code,reasoner,qwen35_27b,0.04044238675035489
code,gemma4_e4b,gemma4_31b,0.027928449496368243
code,gemma4_e4b,qwen35_4b,0.0262825512078304
code,gemma4_e4b,qwen35_9b,0.02862620995451324
code,gemma4_e4b,qwen35_27b,0.02634687502887782
code,gemma4_31b,qwen35_4b,0.005319109895836054
code,gemma4_31b,qwen35_9b,0.006766300027207697
code,gemma4_31b,qwen35_27b,0.01264924167914455
code,qwen35_4b,qwen35_9b,0.0027381763111463528
code,qwen35_4b,qwen35_27b,0.007342184132125746
code,qwen35_9b,qwen35_27b,0.0066582023667534195
gpqa,reasoner,gemma4_e4b,0.043042355546856946
gpqa,reasoner,gemma4_31b,0.015054354048863398
gpqa,reasoner,qwen35_4b,0.0072126283256156035
gpqa,reasoner,qwen35_9b,0.009225247469962056
gpqa,reasoner,qwen35_27b,0.01577311767869303
gpqa,gemma4_e4b,gemma4_31b,0.028097218170581844
gpqa,gemma4_e4b,qwen35_4b,0.036882484694789955
gpqa,gemma4_e4b,qwen35_9b,0.03525697795391476
gpqa,gemma4_e4b,qwen35_27b,0.028770139536214386
gpqa,gemma4_31b,qwen35_4b,0.009965443685644485
gpqa,gemma4_31b,qwen35_9b,0.009109514124489968
gpqa,gemma4_31b,qwen35_27b,0.006929640005623424
gpqa,qwen35_4b,qwen35_9b,0.0020128890302677557
gpqa,qwen35_4b,qwen35_27b,0.008704538178783076
gpqa,qwen35_9b,qwen35_27b,0.0067993625707320066
planning,reasoner,gemma4_e4b,0.029082359478234805
planning,reasoner,gemma4_31b,0.01292884304562777
planning,reasoner,qwen35_4b,0.003195383603559533
planning,reasoner,qwen35_9b,0.002225818449301645
planning,reasoner,qwen35_27b,0.009780315285530129
planning,gemma4_e4b,gemma4_31b,0.025401367938585478
planning,gemma4_e4b,qwen35_4b,0.032183359975654795
planning,gemma4_e4b,qwen35_9b,0.02702291671762551
planning,gemma4_e4b,qwen35_27b,0.019916762664288573
planning,gemma4_31b,qwen35_4b,0.015321046471008442
planning,gemma4_31b,qwen35_9b,0.011294190031198336
planning,gemma4_31b,qwen35_27b,0.014419820898178838
planning,qwen35_4b,qwen35_9b,0.005412111361429835
planning,qwen35_4b,qwen35_27b,0.012617127808132992
planning,qwen35_9b,qwen35_27b,0.008147864216568917
moral,reasoner,gemma4_e4b,0.11024262760936528
moral,reasoner,gemma4_31b,0.034037523430945085
moral,reasoner,qwen35_4b,0.039661079944543993
moral,reasoner,qwen35_9b,0.03956110864357828
moral,reasoner,qwen35_27b,0.03928859174260312
moral,gemma4_e4b,gemma4_31b,0.08884135802399515
moral,gemma4_e4b,qwen35_4b,0.07059826479382934
moral,gemma4_e4b,qwen35_9b,0.07120922570203944
moral,gemma4_e4b,qwen35_27b,0.07114317354053168
moral,gemma4_31b,qwen35_4b,0.02873760876949933
moral,gemma4_31b,qwen35_9b,0.03223678722358358
moral,gemma4_31b,qwen35_27b,0.030372047717057555
