gen_model,model_label,task_type,domain,outcome_kind,n,outcome_unique,signature_family,layer,behavior,behavior_label,shapley_gain,shapley_ci_low,shapley_ci_high,shapley_p_value,shapley_unit,direction_effect,direction_ci_low,direction_ci_high,direction_unit,shapley_q_value,supported,amount_supported,timing_supported,parent_block_supported
reasoner,DeepSeek-R1 Distill 8B,math,Math,binary,498,2,conversational,amount,Question_and_Answering,Question–answer,0.0009141495214698091,-0.02624258329069582,0.024210099932939776,0.4775224775224775,bits/trace,0.29915211792073765,0.1128064538072796,0.47806295523537634,standardized high-minus-low outcome rate difference,1.0,False,False,False,False
reasoner,DeepSeek-R1 Distill 8B,math,Math,binary,498,2,conversational,amount,Perspective_Shift,Perspective shift,0.0052528681738147195,-0.005958232215212607,0.01571074728164952,0.1888111888111888,bits/trace,-0.27677926214849685,-0.4981794019246069,-0.07331194237308289,standardized high-minus-low outcome rate difference,1.0,False,False,False,False
reasoner,DeepSeek-R1 Distill 8B,math,Math,binary,498,2,conversational,amount,Conflict_of_Perspectives,Perspective conflict,0.029869003513677377,0.004382551863286225,0.055533880743028445,0.011988011988011988,bits/trace,-0.4566736998769291,-0.7123859005980078,-0.18544731261898145,standardized high-minus-low outcome rate difference,0.7403123192596877,False,False,False,False
reasoner,DeepSeek-R1 Distill 8B,math,Math,binary,498,2,conversational,amount,Reconciliation,Reconciliation,-0.008124316794006992,-0.04377707507217409,0.01897227154374565,0.7022977022977023,bits/trace,0.18969887742347716,-0.0389761930192587,0.39691053452520064,standardized high-minus-low outcome rate difference,1.0,False,False,False,False
reasoner,DeepSeek-R1 Distill 8B,math,Math,binary,498,2,conversational,timing,Question_and_Answering,Question–answer,-0.003380020183477515,-0.012474384323241074,0.005376535423768523,0.7792207792207793,bits/trace,0.09389693368278879,0.02219184001527557,0.1608396888745373,high-minus-low conditional timing centroid; positive means later,1.0,False,False,False,False
reasoner,DeepSeek-R1 Distill 8B,math,Math,binary,498,2,conversational,timing,Perspective_Shift,Perspective shift,-0.010279013416638432,-0.030079640262587186,0.008538008672713418,0.8441558441558441,bits/trace,0.003987677583114468,-0.04528383238767998,0.04970996453592492,high-minus-low conditional timing centroid; positive means later,1.0,False,False,False,False
reasoner,DeepSeek-R1 Distill 8B,math,Math,binary,498,2,conversational,timing,Conflict_of_Perspectives,Perspective conflict,-0.0038600542863833436,-0.009159282840018398,0.0013888777557202491,0.906093906093906,bits/trace,-0.017433034311178486,-0.07518439545799994,0.03535514821184574,high-minus-low conditional timing centroid; positive means later,1.0,False,False,False,False
reasoner,DeepSeek-R1 Distill 8B,math,Math,binary,498,2,conversational,timing,Reconciliation,Reconciliation,-0.008484840650279235,-0.021044519473800805,0.0034560369352373164,0.906093906093906,bits/trace,0.06956213941309042,0.01564892140262864,0.1171917615348273,high-minus-low conditional timing centroid; positive means later,1.0,False,False,False,False
reasoner,DeepSeek-R1 Distill 8B,math,Math,binary,498,2,cognitive,amount,verification,Verification,-0.001631067177328992,-0.023010127756445942,0.017728417808864725,0.5694305694305695,bits/trace,0.18868090577347754,-0.033614269896632396,0.4013492056032358,standardized high-minus-low outcome rate difference,1.0,False,False,False,False
reasoner,DeepSeek-R1 Distill 8B,math,Math,binary,498,2,cognitive,amount,backtracking,Backtracking,0.013480658399880453,-0.004289354258149247,0.03137052921986412,0.07292707292707293,bits/trace,-0.41372967431862184,-0.6765369073199603,-0.15442945926544588,standardized high-minus-low outcome rate difference,0.8847926267281105,False,False,False,False
reasoner,DeepSeek-R1 Distill 8B,math,Math,binary,498,2,cognitive,amount,subgoal,Subgoal setting,-0.0019045350355741365,-0.004151283035699261,0.0004927198197247777,0.962037962037962,bits/trace,0.013306685010335665,-0.1715878892714325,0.20633072846236394,standardized high-minus-low outcome rate difference,1.0,False,False,False,False
reasoner,DeepSeek-R1 Distill 8B,math,Math,binary,498,2,cognitive,amount,backward_chaining,Backward chaining,-0.018943058896196237,-0.04835940939659173,-0.0003264354698030444,0.9410589410589411,bits/trace,0.03399290674565235,-0.12290954850118571,0.18535158643541247,standardized high-minus-low outcome rate difference,1.0,False,False,False,False
reasoner,DeepSeek-R1 Distill 8B,math,Math,binary,498,2,cognitive,timing,verification,Verification,-0.003075681580565943,-0.009368237336322003,0.0029569213976458814,0.8241758241758241,bits/trace,0.03464234478764128,-0.005074143092529748,0.07456826874615749,high-minus-low conditional timing centroid; positive means later,1.0,False,False,False,False
reasoner,DeepSeek-R1 Distill 8B,math,Math,binary,498,2,cognitive,timing,backtracking,Backtracking,-0.004687655744561263,-0.013594652909538358,0.004441220315242825,0.8581418581418582,bits/trace,0.010682980428164623,-0.04090951529263497,0.06417172836707519,high-minus-low conditional timing centroid; positive means later,1.0,False,False,False,False
reasoner,DeepSeek-R1 Distill 8B,math,Math,binary,498,2,cognitive,timing,subgoal,Subgoal setting,-0.0014742067853226004,-0.010424596197367395,0.008040676508523421,0.6253746253746254,bits/trace,-0.05225223026675324,-0.09921216351569229,-0.008840191485368958,high-minus-low conditional timing centroid; positive means later,1.0,False,False,False,False
reasoner,DeepSeek-R1 Distill 8B,math,Math,binary,498,2,cognitive,timing,backward_chaining,Backward chaining,-0.0036002951228066116,-0.011299339248833702,0.0027400136447409663,0.8411588411588412,bits/trace,-0.04635703925798079,-0.28106820838126934,0.1992899087441028,high-minus-low conditional timing centroid; positive means later,1.0,False,False,False,False
reasoner,DeepSeek-R1 Distill 8B,code,Code,binary,150,2,conversational,amount,Question_and_Answering,Question–answer,-0.007831952150047552,-0.019011822505825816,0.0013861272407111856,0.9210789210789211,bits/trace,0.33336258764133914,-0.0852273547212475,0.7138104111230363,standardized high-minus-low outcome rate difference,1.0,False,False,False,False
reasoner,DeepSeek-R1 Distill 8B,code,Code,binary,150,2,conversational,amount,Perspective_Shift,Perspective shift,-0.006297292393699382,-0.026184444099109243,0.010336626413483615,0.7122877122877123,bits/trace,-0.4708612693483621,-0.8039901644544849,-0.14043162513697857,standardized high-minus-low outcome rate difference,1.0,False,False,False,False
reasoner,DeepSeek-R1 Distill 8B,code,Code,binary,150,2,conversational,amount,Conflict_of_Perspectives,Perspective conflict,-0.05213535711559299,-0.08285442469775763,-0.024308698740136078,1.0,bits/trace,-0.5580674658176505,-0.9456789923492871,-0.19137653057303877,standardized high-minus-low outcome rate difference,1.0,False,False,False,False
reasoner,DeepSeek-R1 Distill 8B,code,Code,binary,150,2,conversational,amount,Reconciliation,Reconciliation,-0.021306306003975487,-0.05760393409786319,0.006282169152124694,0.8951048951048951,bits/trace,0.1497160605550215,-0.2473880182164451,0.5404028732419809,standardized high-minus-low outcome rate difference,1.0,False,False,False,False
reasoner,DeepSeek-R1 Distill 8B,code,Code,binary,150,2,conversational,timing,Question_and_Answering,Question–answer,-0.03245894533253008,-0.06284978096807518,-0.006601376842807378,0.994005994005994,bits/trace,0.03406004840926963,-0.028659276437705685,0.0969133407082823,high-minus-low conditional timing centroid; positive means later,1.0,False,False,False,False
reasoner,DeepSeek-R1 Distill 8B,code,Code,binary,150,2,conversational,timing,Perspective_Shift,Perspective shift,-0.04699086339763894,-0.09243512567763931,-0.010972843732223242,0.997002997002997,bits/trace,0.017159277146937213,-0.01419032128087698,0.04939289063838018,high-minus-low conditional timing centroid; positive means later,1.0,False,False,False,False
reasoner,DeepSeek-R1 Distill 8B,code,Code,binary,150,2,conversational,timing,Conflict_of_Perspectives,Perspective conflict,-0.007480150417369181,-0.05985536728316223,0.03900077382173842,0.6263736263736264,bits/trace,-0.005048631862342723,-0.05313911731473767,0.042235329357767394,high-minus-low conditional timing centroid; positive means later,1.0,False,False,False,False
reasoner,DeepSeek-R1 Distill 8B,code,Code,binary,150,2,conversational,timing,Reconciliation,Reconciliation,-0.010180100968552283,-0.03833436913471237,0.01870431377399504,0.7392607392607392,bits/trace,0.034404971505371695,-0.01266612583072281,0.08246983301138487,high-minus-low conditional timing centroid; positive means later,1.0,False,False,False,False
reasoner,DeepSeek-R1 Distill 8B,code,Code,binary,150,2,cognitive,amount,verification,Verification,0.0017647627730629075,-0.021577994543186638,0.021942399189565046,0.45854145854145856,bits/trace,0.9417532167089251,0.6077331082578521,1.2929741045093475,standardized high-minus-low outcome rate difference,1.0,False,False,False,False
reasoner,DeepSeek-R1 Distill 8B,code,Code,binary,150,2,cognitive,amount,backtracking,Backtracking,-0.03750137000386444,-0.0737471166617596,-0.008756313093773884,0.997002997002997,bits/trace,-0.44441796082633694,-0.8845998935648931,-0.023328116923211472,standardized high-minus-low outcome rate difference,1.0,False,False,False,False
reasoner,DeepSeek-R1 Distill 8B,code,Code,binary,150,2,cognitive,amount,subgoal,Subgoal setting,-0.013944941858577267,-0.028021592681172162,-0.0018290997257937548,0.987012987012987,bits/trace,-0.09802595957390002,-0.4966243933927733,0.3230158921431831,standardized high-minus-low outcome rate difference,1.0,False,False,False,False
reasoner,DeepSeek-R1 Distill 8B,code,Code,binary,150,2,cognitive,amount,backward_chaining,Backward chaining,-0.0011677670191880085,-0.014713091101552389,0.011646398443734541,0.7082917082917083,bits/trace,-0.14996434569234018,-0.40161720652017613,0.07564831662404367,standardized high-minus-low outcome rate difference,1.0,False,False,False,False
reasoner,DeepSeek-R1 Distill 8B,code,Code,binary,150,2,cognitive,timing,verification,Verification,-0.011546834191758561,-0.03517668755185236,0.008595097431518107,0.8381618381618382,bits/trace,0.06559212903550982,0.026633375592609355,0.10897776092665085,high-minus-low conditional timing centroid; positive means later,1.0,False,False,False,False
