feature,level,formula,source_columns,context_mode,undefined_policy
Question_and_Answering__rate,trace,derived from valid full-context segments; rates exclude null labels,Track-B behavior labels,full,timing null when absent; amount 0 only with valid denominator
Perspective_Shift__rate,trace,derived from valid full-context segments; rates exclude null labels,Track-B behavior labels,full,timing null when absent; amount 0 only with valid denominator
Conflict_of_Perspectives__rate,trace,derived from valid full-context segments; rates exclude null labels,Track-B behavior labels,full,timing null when absent; amount 0 only with valid denominator
Reconciliation__rate,trace,derived from valid full-context segments; rates exclude null labels,Track-B behavior labels,full,timing null when absent; amount 0 only with valid denominator
verification__rate,trace,derived from valid full-context segments; rates exclude null labels,Track-B behavior labels,full,timing null when absent; amount 0 only with valid denominator
backtracking__rate,trace,derived from valid full-context segments; rates exclude null labels,Track-B behavior labels,full,timing null when absent; amount 0 only with valid denominator
subgoal__rate,trace,derived from valid full-context segments; rates exclude null labels,Track-B behavior labels,full,timing null when absent; amount 0 only with valid denominator
backward_chaining__rate,trace,derived from valid full-context segments; rates exclude null labels,Track-B behavior labels,full,timing null when absent; amount 0 only with valid denominator
coupling_excess,trace,derived from valid full-context segments; rates exclude null labels,Track-B behavior labels,full,timing null when absent; amount 0 only with valid denominator
D_to_D__rate,trace,derived from valid full-context segments; rates exclude null labels,Track-B behavior labels,full,timing null when absent; amount 0 only with valid denominator
D_to_E__rate,trace,derived from valid full-context segments; rates exclude null labels,Track-B behavior labels,full,timing null when absent; amount 0 only with valid denominator
E_to_D__rate,trace,derived from valid full-context segments; rates exclude null labels,Track-B behavior labels,full,timing null when absent; amount 0 only with valid denominator
E_to_E__rate,trace,derived from valid full-context segments; rates exclude null labels,Track-B behavior labels,full,timing null when absent; amount 0 only with valid denominator
perspective_to_reconciliation__rate,trace,derived from valid full-context segments; rates exclude null labels,Track-B behavior labels,full,timing null when absent; amount 0 only with valid denominator
dialectical_density,trace,derived from valid full-context segments; rates exclude null labels,Track-B behavior labels,full,timing null when absent; amount 0 only with valid denominator
executive_density,trace,derived from valid full-context segments; rates exclude null labels,Track-B behavior labels,full,timing null when absent; amount 0 only with valid denominator
sot_core_rate,trace,derived from valid full-context segments; rates exclude null labels,Track-B behavior labels,full,timing null when absent; amount 0 only with valid denominator
questioning_rate,trace,derived from valid full-context segments; rates exclude null labels,Track-B behavior labels,full,timing null when absent; amount 0 only with valid denominator
question_to_subgoal__rate,trace,derived from valid full-context segments; rates exclude null labels,Track-B behavior labels,full,timing null when absent; amount 0 only with valid denominator
perspective_to_verification__rate,trace,derived from valid full-context segments; rates exclude null labels,Track-B behavior labels,full,timing null when absent; amount 0 only with valid denominator
conflict_to_verification__rate,trace,derived from valid full-context segments; rates exclude null labels,Track-B behavior labels,full,timing null when absent; amount 0 only with valid denominator
conflict_to_reconciliation__rate,trace,derived from valid full-context segments; rates exclude null labels,Track-B behavior labels,full,timing null when absent; amount 0 only with valid denominator
verification_to_backtracking__rate,trace,derived from valid full-context segments; rates exclude null labels,Track-B behavior labels,full,timing null when absent; amount 0 only with valid denominator
backtracking_to_subgoal__rate,trace,derived from valid full-context segments; rates exclude null labels,Track-B behavior labels,full,timing null when absent; amount 0 only with valid denominator
reconciliation_to_verification__rate,trace,derived from valid full-context segments; rates exclude null labels,Track-B behavior labels,full,timing null when absent; amount 0 only with valid denominator
conflict_verification_backtracking__rate,trace,derived from valid full-context segments; rates exclude null labels,Track-B behavior labels,full,timing null when absent; amount 0 only with valid denominator
verification_backtracking_subgoal__rate,trace,derived from valid full-context segments; rates exclude null labels,Track-B behavior labels,full,timing null when absent; amount 0 only with valid denominator
perspective_conflict_reconciliation__rate,trace,derived from valid full-context segments; rates exclude null labels,Track-B behavior labels,full,timing null when absent; amount 0 only with valid denominator
conflict_reconciliation_verification__rate,trace,derived from valid full-context segments; rates exclude null labels,Track-B behavior labels,full,timing null when absent; amount 0 only with valid denominator
motif__question_to_subgoal__rate,trace,derived from valid full-context segments; rates exclude null labels,Track-B behavior labels,full,timing null when absent; amount 0 only with valid denominator
motif__perspective_to_verification__rate,trace,derived from valid full-context segments; rates exclude null labels,Track-B behavior labels,full,timing null when absent; amount 0 only with valid denominator
motif__conflict_to_verification__rate,trace,derived from valid full-context segments; rates exclude null labels,Track-B behavior labels,full,timing null when absent; amount 0 only with valid denominator
motif__conflict_to_reconciliation__rate,trace,derived from valid full-context segments; rates exclude null labels,Track-B behavior labels,full,timing null when absent; amount 0 only with valid denominator
motif__verification_to_backtracking__rate,trace,derived from valid full-context segments; rates exclude null labels,Track-B behavior labels,full,timing null when absent; amount 0 only with valid denominator
motif__backtracking_to_subgoal__rate,trace,derived from valid full-context segments; rates exclude null labels,Track-B behavior labels,full,timing null when absent; amount 0 only with valid denominator
motif__reconciliation_to_verification__rate,trace,derived from valid full-context segments; rates exclude null labels,Track-B behavior labels,full,timing null when absent; amount 0 only with valid denominator
motif__conflict_verification_backtracking__rate,trace,derived from valid full-context segments; rates exclude null labels,Track-B behavior labels,full,timing null when absent; amount 0 only with valid denominator
motif__verification_backtracking_subgoal__rate,trace,derived from valid full-context segments; rates exclude null labels,Track-B behavior labels,full,timing null when absent; amount 0 only with valid denominator
motif__perspective_conflict_reconciliation__rate,trace,derived from valid full-context segments; rates exclude null labels,Track-B behavior labels,full,timing null when absent; amount 0 only with valid denominator
motif__conflict_reconciliation_verification__rate,trace,derived from valid full-context segments; rates exclude null labels,Track-B behavior labels,full,timing null when absent; amount 0 only with valid denominator
