task_type,gen_model,behavior,traces,occurrence_prevalence,mean_rate_all_traces,mean_rate_conditional_on_occurrence,mean_centroid_conditional_on_occurrence
code,gemma4_31b,Question_and_Answering,175,0.8114285714285714,0.043738622948949986,0.05390323250750878,0.5819472564976156
code,gemma4_31b,Perspective_Shift,175,0.9714285714285714,0.11179903685080433,0.11508724381700447,0.5173080272022563
code,gemma4_31b,Conflict_of_Perspectives,175,0.8342857142857143,0.0376270320083184,0.04510089453051862,0.4398957340498635
code,gemma4_31b,Reconciliation,175,0.8514285714285714,0.03366174621669611,0.03953560797262967,0.5624334629648878
code,gemma4_31b,verification,175,0.9885714285714285,0.1491385800337062,0.15086272546762186,0.6154010384291847
code,gemma4_31b,backtracking,175,0.6914285714285714,0.017101776542250518,0.02473397433796563,0.4320092607261736
code,gemma4_31b,subgoal,175,0.9942857142857143,0.07963295030561307,0.08009061093955337,0.42707085110216436
code,gemma4_31b,backward_chaining,175,0.13142857142857142,0.002595034878028533,0.019744830593695365,0.44223042392371814
code,gemma4_e4b,Question_and_Answering,175,0.6114285714285714,0.00904609694940503,0.014795018375195142,0.45131446374469686
code,gemma4_e4b,Perspective_Shift,175,1.0,0.09237031456316457,0.09237031456316457,0.48711552215749165
code,gemma4_e4b,Conflict_of_Perspectives,175,0.8,0.02530076453228978,0.03162595566536222,0.46212516159046074
code,gemma4_e4b,Reconciliation,175,0.8285714285714286,0.015927319972322353,0.019222627552802844,0.5651302344488048
code,gemma4_e4b,verification,175,0.9885714285714285,0.07523724718969271,0.07610704195489147,0.6280084275899053
code,gemma4_e4b,backtracking,175,0.7542857142857143,0.014063589593813484,0.018644910446343633,0.4801972968232618
code,gemma4_e4b,subgoal,175,1.0,0.08276905728865558,0.08276905728865558,0.4526116240873635
code,gemma4_e4b,backward_chaining,175,0.22857142857142856,0.0029588582266401823,0.012945004741550798,0.38843120030511546
code,qwen35_27b,Question_and_Answering,159,0.949685534591195,0.063829158038067,0.06721083528511691,0.49866021593173615
code,qwen35_27b,Perspective_Shift,159,0.9937106918238994,0.10141817324958054,0.10206006042204624,0.49833296251660336
code,qwen35_27b,Conflict_of_Perspectives,159,0.9748427672955975,0.0358128525945357,0.036737055242136614,0.4198798793323744
code,qwen35_27b,Reconciliation,159,0.9685534591194969,0.04368332751749255,0.045101617371956594,0.5179583514614677
code,qwen35_27b,verification,159,0.9811320754716981,0.15355903699328166,0.1565120953969986,0.5590827077939559
code,qwen35_27b,backtracking,159,0.949685534591195,0.014505637818626302,0.015274148431533654,0.40405897995044043
code,qwen35_27b,subgoal,159,0.9874213836477987,0.0316443404784049,0.03204745309596421,0.32590140277712853
code,qwen35_27b,backward_chaining,159,0.32075471698113206,0.0014409207206053723,0.00449228224659322,0.32855520907439384
code,qwen35_4b,Question_and_Answering,94,0.7340425531914894,0.043109581512303284,0.058728995103717506,0.5367541625984571
code,qwen35_4b,Perspective_Shift,94,0.9893617021276596,0.11830753787789619,0.11957966194109941,0.4945632984058036
code,qwen35_4b,Conflict_of_Perspectives,94,0.8829787234042553,0.03368175609841869,0.03814560329218502,0.4399794997178808
code,qwen35_4b,Reconciliation,94,0.851063829787234,0.038232184154236244,0.04492281638122758,0.529079228307675
code,qwen35_4b,verification,94,0.9574468085106383,0.14074861080107975,0.14700410461446103,0.5423695343664968
code,qwen35_4b,backtracking,94,0.8617021276595744,0.02291976051798713,0.026598240601120867,0.43298565928841803
code,qwen35_4b,subgoal,94,1.0,0.06203109693864831,0.06203109693864831,0.3059377873676541
code,qwen35_4b,backward_chaining,94,0.20212765957446807,0.0025111150141029536,0.012423411122404087,0.30296845720985977
code,qwen35_9b,Question_and_Answering,131,0.6564885496183206,0.04308350831976414,0.0656272045335942,0.504304250871425
code,qwen35_9b,Perspective_Shift,131,1.0,0.12300798052224735,0.12300798052224735,0.4963179795032055
code,qwen35_9b,Conflict_of_Perspectives,131,0.816793893129771,0.04344553882294659,0.05319033257762621,0.46620469182026597
code,qwen35_9b,Reconciliation,131,0.7938931297709924,0.03473821615401056,0.04375679150168637,0.5517810947857588
code,qwen35_9b,verification,131,0.8931297709923665,0.13660887862069027,0.1529552401650464,0.5700669414071582
code,qwen35_9b,backtracking,131,0.7709923664122137,0.021993177293191876,0.028525804211961738,0.4466044051816314
code,qwen35_9b,subgoal,131,0.9770992366412213,0.06743339592361076,0.0690138661405704,0.3636520487315193
code,qwen35_9b,backward_chaining,131,0.22137404580152673,0.001743176698202234,0.007874349912568713,0.33802346980252657
code,reasoner,Question_and_Answering,154,0.9935064935064936,0.03876720817024013,0.039020588615797255,0.4064135864112359
code,reasoner,Perspective_Shift,154,1.0,0.16766188698809975,0.16766188698809975,0.5131421567887217
code,reasoner,Conflict_of_Perspectives,154,1.0,0.12111128336695101,0.12111128336695101,0.47050016787045423
code,reasoner,Reconciliation,154,1.0,0.042501086092176774,0.042501086092176774,0.4750681850486874
code,reasoner,verification,154,1.0,0.1603119886268125,0.1603119886268125,0.5627884648286596
code,reasoner,backtracking,154,0.974025974025974,0.06293167180768065,0.06460984972255214,0.47891331728636627
code,reasoner,subgoal,154,1.0,0.07780341173419995,0.07780341173419995,0.47559018519351254
code,reasoner,backward_chaining,154,0.19480519480519481,0.002424949710704799,0.012448075181617967,0.4700348586160039
gpqa,gemma4_31b,Question_and_Answering,500,0.878,0.09071200141679801,0.1033166303152597,0.5778464847706106
gpqa,gemma4_31b,Perspective_Shift,500,1.0,0.16196734212534583,0.16196734212534583,0.5238961242222538
gpqa,gemma4_31b,Conflict_of_Perspectives,500,0.95,0.07456500990136723,0.07848948410670235,0.49714762916041627
gpqa,gemma4_31b,Reconciliation,500,0.95,0.04753862655301832,0.050040659529492965,0.6405305562714552
gpqa,gemma4_31b,verification,500,0.996,0.21536130992464836,0.21622621478378348,0.612997373903898
gpqa,gemma4_31b,backtracking,500,0.796,0.040747301062854256,0.05119007671212847,0.46546983177376156
gpqa,gemma4_31b,subgoal,500,0.834,0.034927089678650255,0.04187900441085162,0.38705949817363006
gpqa,gemma4_31b,backward_chaining,500,0.282,0.00712716108178021,0.025273620857376625,0.4855250284370549
gpqa,gemma4_e4b,Question_and_Answering,500,0.376,0.016062438800588844,0.042719252129225636,0.5632374092426738
gpqa,gemma4_e4b,Perspective_Shift,500,0.98,0.15672674522425226,0.1599252502288288,0.5123160444051049
gpqa,gemma4_e4b,Conflict_of_Perspectives,500,0.804,0.05692596069219536,0.0708034336967604,0.5813163977733442
gpqa,gemma4_e4b,Reconciliation,500,0.832,0.035568954723586725,0.04275114750431097,0.7616317309340648
gpqa,gemma4_e4b,verification,500,0.962,0.13593937535012748,0.1413091219855795,0.7113325972017412
gpqa,gemma4_e4b,backtracking,500,0.516,0.02269754448392515,0.04398748930993246,0.5405715936706208
gpqa,gemma4_e4b,subgoal,500,1.0,0.1513116266019544,0.1513116266019544,0.33429867959825993
gpqa,gemma4_e4b,backward_chaining,500,0.282,0.013537306047772426,0.04800463137507953,0.5780015927098625
gpqa,qwen35_27b,Question_and_Answering,490,0.9918367346938776,0.10512884089942635,0.10599409884921589,0.5361730621885067
gpqa,qwen35_27b,Perspective_Shift,490,1.0,0.14532899894925397,0.14532899894925397,0.4901740273801015
gpqa,qwen35_27b,Conflict_of_Perspectives,490,0.9959183673469387,0.06797346333569619,0.06825204310346543,0.5031627272337184
gpqa,qwen35_27b,Reconciliation,490,0.9959183673469387,0.04943184926155311,0.04963443880770703,0.5893260390395908
gpqa,qwen35_27b,verification,490,1.0,0.18643722107688201,0.18643722107688201,0.5600906350437824
gpqa,qwen35_27b,backtracking,490,0.9163265306122449,0.025103350898812753,0.027395639065519485,0.46495761924765217
gpqa,qwen35_27b,subgoal,490,1.0,0.05325579214369889,0.05325579214369889,0.4251706876288571
gpqa,qwen35_27b,backward_chaining,490,0.4897959183673469,0.006525585639738758,0.013323070681133298,0.5042758596234547
gpqa,qwen35_4b,Question_and_Answering,339,0.9970501474926253,0.1168062890197414,0.1171518697564862,0.528027174381372
gpqa,qwen35_4b,Perspective_Shift,339,1.0,0.15671952402502382,0.15671952402502382,0.4942004663824493
gpqa,qwen35_4b,Conflict_of_Perspectives,339,1.0,0.07542000655259132,0.07542000655259132,0.49765714189375526
gpqa,qwen35_4b,Reconciliation,339,1.0,0.053695407031997856,0.053695407031997856,0.5749948908605786
gpqa,qwen35_4b,verification,339,1.0,0.1924215029854017,0.1924215029854017,0.5447152231303873
gpqa,qwen35_4b,backtracking,339,0.9734513274336283,0.02931683627560167,0.030116386355845348,0.47101007533198513
gpqa,qwen35_4b,subgoal,339,1.0,0.04218889635041738,0.04218889635041738,0.4180500067277813
gpqa,qwen35_4b,backward_chaining,339,0.5663716814159292,0.005724590024635973,0.01010747926224789,0.49789183982340507
gpqa,qwen35_9b,Question_and_Answering,422,0.9928909952606635,0.11666822815404414,0.11750356152984875,0.5269341301479863
gpqa,qwen35_9b,Perspective_Shift,422,1.0,0.1523820555931468,0.1523820555931468,0.4937577502217695
gpqa,qwen35_9b,Conflict_of_Perspectives,422,0.9976303317535545,0.0734065803243669,0.07358094274794022,0.49961111245402884
gpqa,qwen35_9b,Reconciliation,422,1.0,0.0523655118450201,0.0523655118450201,0.5744861839162594
gpqa,qwen35_9b,verification,422,1.0,0.18823272447908812,0.18823272447908812,0.5457355160958717
gpqa,qwen35_9b,backtracking,422,0.9478672985781991,0.02863028212509526,0.0302049476419755,0.47086306727997035
gpqa,qwen35_9b,subgoal,422,1.0,0.04416051090949068,0.04416051090949068,0.41213444361656343
gpqa,qwen35_9b,backward_chaining,422,0.580568720379147,0.006706556446939023,0.011551701308605174,0.49857375835934314
gpqa,reasoner,Question_and_Answering,484,0.9028925619834711,0.03355722050880745,0.037166349488015574,0.38423142156646284
gpqa,reasoner,Perspective_Shift,484,0.9958677685950413,0.20358687167785952,0.20443163048150206,0.5209225524083752
gpqa,reasoner,Conflict_of_Perspectives,484,0.9793388429752066,0.1450701732752061,0.14813072545400793,0.5309450755034484
gpqa,reasoner,Reconciliation,484,0.9917355371900827,0.04856635891416114,0.048971078571779146,0.6047969927515663
gpqa,reasoner,verification,484,0.9462809917355371,0.14272255784381951,0.1508247117825516,0.5859911816838016
gpqa,reasoner,backtracking,484,0.890495867768595,0.08000761534546298,0.08984613881021832,0.5367185140936581
gpqa,reasoner,subgoal,484,0.9896694214876033,0.0473286657108936,0.0478227018874165,0.36161047949238556
gpqa,reasoner,backward_chaining,484,0.3202479338842975,0.00595902257223232,0.01860752854813189,0.5637278488139217
idea,gemma4_31b,Question_and_Answering,500,0.814,0.14450668591929786,0.17752664117849862,0.652321334793806
idea,gemma4_31b,Perspective_Shift,500,1.0,0.32600819867241454,0.32600819867241454,0.41122168705345485
idea,gemma4_31b,Conflict_of_Perspectives,500,0.998,0.1217189510696432,0.12196287682328978,0.42041703054546065
idea,gemma4_31b,Reconciliation,500,0.704,0.027998920707119304,0.03977119418624901,0.6070171471565229
idea,gemma4_31b,verification,500,0.992,0.21631772174409675,0.21806221950009752,0.5596671771620343
idea,gemma4_31b,backtracking,500,0.686,0.07064233769468903,0.10297716865115021,0.5133616571481092
idea,gemma4_31b,subgoal,500,0.918,0.1136895081471959,0.12384478011677114,0.38615930943439036
idea,gemma4_31b,backward_chaining,500,0.004,0.00011774600504625736,0.02943650126156434,0.5589285641908646
idea,gemma4_e4b,Question_and_Answering,500,0.964,0.18544450849400643,0.19236982208921827,0.5313983247740246
idea,gemma4_e4b,Perspective_Shift,500,1.0,0.2162399143125138,0.2162399143125138,0.536212053427486
idea,gemma4_e4b,Conflict_of_Perspectives,500,0.872,0.0620788548044262,0.07119134725278235,0.5590543932294861
idea,gemma4_e4b,Reconciliation,500,0.54,0.02314633844247973,0.042863589708295784,0.6479421587178
idea,gemma4_e4b,verification,500,0.932,0.12825180228010907,0.13760922991428015,0.6705392261526887
idea,gemma4_e4b,backtracking,500,0.28,0.010028013487118605,0.035814333882566454,0.7240384766388507
idea,gemma4_e4b,subgoal,500,1.0,0.24541840794817887,0.24541840794817887,0.4667915901307285
idea,gemma4_e4b,backward_chaining,500,0.002,7.142857142857142e-05,0.03571428571428571,0.25925925374031067
idea,qwen35_27b,Question_and_Answering,498,1.0,0.06337099957020845,0.06337099957020845,0.5491825994409204
idea,qwen35_27b,Perspective_Shift,498,1.0,0.2662589528544151,0.2662589528544151,0.4271174651079338
idea,qwen35_27b,Conflict_of_Perspectives,498,1.0,0.11460891174394414,0.11460891174394414,0.41450442046008634
idea,qwen35_27b,Reconciliation,498,1.0,0.03631413089822842,0.03631413089822842,0.6414304046438952
idea,qwen35_27b,verification,498,1.0,0.1326874739266802,0.1326874739266802,0.4767066560301998
idea,qwen35_27b,backtracking,498,0.9979919678714859,0.13887471856548614,0.13915414455857564,0.4982610448265656
idea,qwen35_27b,subgoal,498,1.0,0.07071914505029965,0.07071914505029965,0.4263881520817726
idea,qwen35_27b,backward_chaining,498,0.014056224899598393,0.00012054644299765743,0.008576018373261914,0.7151569730291764
idea,qwen35_4b,Question_and_Answering,161,1.0,0.054338558524241576,0.054338558524241576,0.4988713127278713
idea,qwen35_4b,Perspective_Shift,161,1.0,0.32566833349962027,0.32566833349962027,0.4449978692029541
idea,qwen35_4b,Conflict_of_Perspectives,161,1.0,0.13499964645441564,0.13499964645441564,0.40885067562529104
idea,qwen35_4b,Reconciliation,161,1.0,0.034276230331979685,0.034276230331979685,0.6413741462314803
idea,qwen35_4b,verification,161,1.0,0.12496087867929685,0.12496087867929685,0.44798487953183097
idea,qwen35_4b,backtracking,161,1.0,0.176871293675691,0.176871293675691,0.5028039792844322
idea,qwen35_4b,subgoal,161,1.0,0.06658222642240091,0.06658222642240091,0.37806134232558486
idea,qwen35_4b,backward_chaining,161,0.024844720496894408,0.00026188583277598836,0.01054090476923353,0.821866059054931
idea,qwen35_9b,Question_and_Answering,344,1.0,0.060494196678189664,0.060494196678189664,0.5280063645630324
idea,qwen35_9b,Perspective_Shift,344,1.0,0.27772931360336844,0.27772931360336844,0.44558014244374566
idea,qwen35_9b,Conflict_of_Perspectives,344,1.0,0.11903240945942054,0.11903240945942054,0.4236405314066611
idea,qwen35_9b,Reconciliation,344,1.0,0.0351442637017357,0.0351442637017357,0.6453591205605866
idea,qwen35_9b,verification,344,1.0,0.1203761797519072,0.1203761797519072,0.4819098032647732
idea,qwen35_9b,backtracking,344,1.0,0.149434621079521,0.149434621079521,0.5075996338426251
idea,qwen35_9b,subgoal,344,1.0,0.06442194900485758,0.06442194900485758,0.41450727312901664
idea,qwen35_9b,backward_chaining,344,0.01744186046511628,8.669585293749431e-05,0.004970562235083007,0.4789167111739516
idea,reasoner,Question_and_Answering,493,0.9553752535496958,0.10467686680480755,0.1095662321332699,0.3920648911543781
idea,reasoner,Perspective_Shift,493,1.0,0.30476693120160675,0.30476693120160675,0.47179307854766134
idea,reasoner,Conflict_of_Perspectives,493,0.949290060851927,0.08978906157833522,0.09458548580794712,0.5127467406146322
idea,reasoner,Reconciliation,493,0.9675456389452333,0.05527207482566125,0.05712606475692033,0.7161202227366067
idea,reasoner,verification,493,0.8884381338742393,0.08106767013491263,0.09124740040299527,0.6400631633961333
idea,reasoner,backtracking,493,0.7728194726166329,0.06999376755191475,0.09056936326271382,0.4905256252000651
idea,reasoner,subgoal,493,0.9959432048681541,0.10815210152070681,0.10859263961244085,0.42615429056358894
idea,reasoner,backward_chaining,493,0.0486815415821501,0.0011247820294946153,0.023104897522535223,0.6201807753079468
math,gemma4_31b,Question_and_Answering,500,0.422,0.057110244872600024,0.13506166915368442,0.6299213204689139
math,gemma4_31b,Perspective_Shift,500,0.818,0.10370925618955774,0.12653036390853134,0.5976446975336268
math,gemma4_31b,Conflict_of_Perspectives,500,0.318,0.017554646589170598,0.05509288457859201,0.47849751357204506
math,gemma4_31b,Reconciliation,500,0.48,0.0274447597647538,0.05706222967755061,0.7426721188904771
math,gemma4_31b,verification,500,0.88,0.17025955439889243,0.193089812829653,0.7652346327756169
math,gemma4_31b,backtracking,500,0.198,0.007730323691958643,0.03896395477057942,0.4428942194917895
math,gemma4_31b,subgoal,500,0.712,0.07847055538282795,0.10999103128098638,0.3695417353937972
math,gemma4_31b,backward_chaining,500,0.068,0.0037125930594213556,0.054487762842684,0.5245751239578513
math,gemma4_e4b,Question_and_Answering,485,0.2804123711340206,0.017560677550916882,0.06262447508966683,0.5953163971691121
math,gemma4_e4b,Perspective_Shift,485,0.8886597938144329,0.14773038143839068,0.1662395243564257,0.5295898578571028
math,gemma4_e4b,Conflict_of_Perspectives,485,0.3649484536082474,0.016869306380726864,0.04622380561950582,0.5297405430387919
math,gemma4_e4b,Reconciliation,485,0.5257731958762887,0.02072322442093755,0.03941476017315572,0.7501300411556007
math,gemma4_e4b,verification,485,0.9443298969072165,0.14348469244630416,0.151943397022833,0.7578242795427826
math,gemma4_e4b,backtracking,485,0.2597938144329897,0.008465592236256125,0.032585811385589046,0.5431858457852289
math,gemma4_e4b,subgoal,485,0.9958762886597938,0.23706787859795464,0.23804952612838096,0.3756737932927295
math,gemma4_e4b,backward_chaining,485,0.10309278350515463,0.0038717371330533037,0.037555850190617045,0.45915472510912353
math,qwen35_27b,Question_and_Answering,439,0.9498861047835991,0.0928710920801066,0.09777076600279808,0.5588815237811086
math,qwen35_27b,Perspective_Shift,439,0.9954441913439636,0.128275602833392,0.12886267653057001,0.49175660901503887
math,qwen35_27b,Conflict_of_Perspectives,439,0.8337129840546698,0.027816693703850842,0.03336483206554787,0.5247924190619488
math,qwen35_27b,Reconciliation,439,0.9157175398633257,0.042768333590194385,0.04670472250272471,0.5843866388818733
math,qwen35_27b,verification,439,1.0,0.22384035651711737,0.22384035651711737,0.5635156632020526
math,qwen35_27b,backtracking,439,0.683371298405467,0.009812281431370588,0.014358638494572293,0.48157312392627705
math,qwen35_27b,subgoal,439,1.0,0.1198102303489744,0.1198102303489744,0.4188979010527981
math,qwen35_27b,backward_chaining,439,0.20956719817767655,0.0029424606763293498,0.014040654749006353,0.4845065553363473
math,qwen35_4b,Question_and_Answering,409,0.9657701711491442,0.09975595908242788,0.10329161332838735,0.549033747524245
math,qwen35_4b,Perspective_Shift,409,0.9951100244498777,0.13091249331523677,0.13155579795069247,0.4940739651454143
math,qwen35_4b,Conflict_of_Perspectives,409,0.8948655256723717,0.036614363070327394,0.04091605053487406,0.5206712646584956
math,qwen35_4b,Reconciliation,409,0.9339853300733496,0.04520937120598011,0.04840479796661222,0.5810089394831421
math,qwen35_4b,verification,409,1.0,0.2303752445416811,0.2303752445416811,0.5515005631280105
math,qwen35_4b,backtracking,409,0.7652811735941321,0.014048153079109782,0.018356851787079555,0.47592617659743913
math,qwen35_4b,subgoal,409,1.0,0.10103726847613373,0.10103726847613373,0.42337734582149505
math,qwen35_4b,backward_chaining,409,0.2396088019559902,0.002176512196699441,0.009083607025000728,0.4411604662061282
